Variety,site,Harvestdate,Avg_cluster,50_berry,Avg_berry,Brix,pH,TA,Label
Marquette,ASH,9/11/20,85.00,59.04,1.18,24.1,2.84,11.84,MQ-ASH-911
Marquette,ASH,9/18/20,87.00,66.38,1.33,24.5,2.91,11.62,MQ-ASH-918
Marquette,ASH,9/25/20,87.33,64,1.28,25.8,2.97,9.56,MQ-ASH-925
Marquette,FER,9/18/20,98.67,67.76,1.36,21.0,3.07,13.15,MQ-FER-918
Marquette,FER,9/25/20,56.00,66.74,1.33,22.9,3.06,10.51,MQ-FER-925
Marquette,HRC,9/8/20,132.50,66.91,1.34,25.2,2.91,11.01,MQ-HRC-908
Marquette,HRC,9/15/20,126.33,66.36,1.33,25.4,2.92,9.12,MQ-HRC-915
Marquette,HRC,9/22/20,81.17,68.77,1.38,26.7,2.96,8.88,MQ-HRC-922
Marquette,FER,9/11/20,94.16,80.08,1.60,19.1,2.95,13.67,MQ-FER-911
Marquette,BUF,9/11/20,109.16,66.62,1.33,21.8,2.89,12.23,MQ-BUF-911
Marquette,BUF,9/18/20,127.00,66.09,1.32,23.1,3.04,11.07,MQ-BUF-918
Marquette,BUF,9/25/20,101.00,67.73,1.35,23.4,3.08,9.83,MQ-BUF-925
Marquette,SMI,9/1/20,152.00,71.6,1.43,20.8,2.92,12.59,MQ-SMI-901
Marquette,SMI,9/8/20,155.33,72.88,1.45,21.3,2.96,11.04,MQ-SMI-908
Marquette,SMI,9/15/20,132.83,84.17,1.68,22.0,3.05,10.40,MQ-SMI-915
