"STATION","Date","PRCP","TAVG","TMAX","TMIN"
"USW00024011","2019-01-01","0.02","-3","15","-18"
"USW00024011","2019-01-02","0.00","22","37","15"
"USW00024011","2019-01-03","0.00","35","46","24"
"USW00024011","2019-01-04","0.00","36","48","24"
"USW00024011","2019-01-05","0.00","35","39","23"
"USW00024011","2019-01-06","0.00","27","32","24"
"USW00024011","2019-01-07","0.00","34","45","23"
"USW00024011","2019-01-08","0.00","27","30","13"
"USW00024011","2019-01-09","0.00","11","15","4"
"USW00024011","2019-01-10","0.00","15","27","8"
"USW00024011","2019-01-11","0.00","15","20","9"
"USW00024011","2019-01-12","0.00","15","19","13"
"USW00024011","2019-01-13","0.00","22","33","15"
"USW00024011","2019-01-14","0.00","21","27","12"
"USW00024011","2019-01-15","0.00","20","29","9"
"USW00024011","2019-01-16","0.00","8","16","0"
"USW00024011","2019-01-17","0.01","16","19","8"
"USW00024011","2019-01-18","0.25","6","9","-9"
"USW00024011","2019-01-19","0.03","1","8","-5"
"USW00024011","2019-01-20","0.03","5","7","1"
"USW00024011","2019-01-21","0.18","8","13","6"
"USW00024011","2019-01-22","0.00","14","24","5"
"USW00024011","2019-01-23","0.00","18","32","5"
"USW00024011","2019-01-24","0.00","3","5","-14"
"USW00024011","2019-01-25","0.02","-1","10","-7"
"USW00024011","2019-01-26","0.03","8","23","4"
"USW00024011","2019-01-27","0.17","11","39","5"
"USW00024011","2019-01-28","0.01","14","15","-3"
"USW00024011","2019-01-29","0.00","-7","-3","-27"
"USW00024011","2019-01-30","0.00","-21","-9","-33"
"USW00024011","2019-01-31","0.06","-4","9","-9"
"USW00024011","2019-02-01","0.00","17","42","7"
"USW00024011","2019-02-02","0.00","17","25","9"
"USW00024011","2019-02-03","0.21","7","15","-7"
"USW00024011","2019-02-04","0.06","-6","-2","-9"
"USW00024011","2019-02-05","0.04","-7","-3","-9"
"USW00024011","2019-02-06","0.00","-3","-1","-7"
"USW00024011","2019-02-07","0.08","-7","-6","-16"
"USW00024011","2019-02-08","0.00","-15","-6","-28"
"USW00024011","2019-02-09","0.00","-7","-1","-9"
"USW00024011","2019-02-10","0.14","-4","1","-17"
"USW00024011","2019-02-11","0.12","-1","11","-10"
"USW00024011","2019-02-12","0.00","0","3","-17"
"USW00024011","2019-02-13","0.00","-4","13","-15"
"USW00024011","2019-02-14","0.02","1","4","-15"
"USW00024011","2019-02-15","0.00","-12","1","-28"
"USW00024011","2019-02-16","0.01","5","11","1"
"USW00024011","2019-02-17","0.00","9","12","1"
"USW00024011","2019-02-18","0.00","2","10","-12"
"USW00024011","2019-02-19","0.01","-8","4","-22"
"USW00024011","2019-02-20","0.10","8","17","2"
"USW00024011","2019-02-21","0.00","10","19","-6"
"USW00024011","2019-02-22","0.04","-1","13","-17"
"USW00024011","2019-02-23","0.00","8","20","-14"
"USW00024011","2019-02-24","0.00","3","5","-9"
"USW00024011","2019-02-25","0.00","-5","3","-10"
"USW00024011","2019-02-26","0.16","-1","3","-3"
"USW00024011","2019-02-27","0.00","1","12","-9"
"USW00024011","2019-02-28","0.00","9","24","-3"
"USW00024011","2019-03-01","0.13","12","18","-3"
"USW00024011","2019-03-02","0.00","0","4","-14"
"USW00024011","2019-03-03","0.00","-9","2","-15"
"USW00024011","2019-03-04","0.04","2","13","-5"
"USW00024011","2019-03-05","0.00","11","22","2"
"USW00024011","2019-03-06","0.00","10","14","-6"
"USW00024011","2019-03-07","0.00","2","16","-12"
"USW00024011","2019-03-08","0.00","17","26","14"
"USW00024011","2019-03-09","0.68","22","26","17"
"USW00024011","2019-03-10","0.00","17","27","-9"
"USW00024011","2019-03-11","0.00","5","26","-10"
"USW00024011","2019-03-12","0.00","19","39","7"
"USW00024011","2019-03-13","0.00","20","34","3"
"USW00024011","2019-03-14","0.14","32","35","25"
"USW00024011","2019-03-15","0.00","29","37","19"
"USW00024011","2019-03-16","0.00","27","37","15"
"USW00024011","2019-03-17","0.00","28","39","9"
"USW00024011","2019-03-18","0.00","25","38","9"
"USW00024011","2019-03-19","0.00","33","42","25"
"USW00024011","2019-03-20","0.00","38","47","26"
"USW00024011","2019-03-21","0.00","34","50","22"
"USW00024011","2019-03-22","0.00","30","40","18"
"USW00024011","2019-03-23","0.00","34","47","26"
"USW00024011","2019-03-24","0.00","34","37","25"
"USW00024011","2019-03-25","0.00","28","33","25"
"USW00024011","2019-03-26","0.00","35","41","33"
"USW00024011","2019-03-27","0.00","39","57","28"
"USW00024011","2019-03-28","0.00","39","45","28"
"USW00024011","2019-03-29","0.00","36","52","23"
"USW00024011","2019-03-30","0.00","32","42","21"
"USW00024011","2019-03-31","0.00","37","48","27"
