"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014916","2019-01-01","0.00","-14","-1","-25"
"USW00014916","2019-01-02","0.03","7","24","-6"
"USW00014916","2019-01-03","0.00","27","37","18"
"USW00014916","2019-01-04","0.00","27","38","16"
"USW00014916","2019-01-05","0.00","23","32","17"
"USW00014916","2019-01-06","0.01","18","30","13"
"USW00014916","2019-01-07","0.02","31","37","23"
"USW00014916","2019-01-08","0.00","15","24","-1"
"USW00014916","2019-01-09","0.00","-1","4","-5"
"USW00014916","2019-01-10","0.00","7","16","2"
"USW00014916","2019-01-11","0.00","8","16","-2"
"USW00014916","2019-01-12","0.00","15","21","12"
"USW00014916","2019-01-13","0.00","21","23","20"
"USW00014916","2019-01-14","0.00","18","22","11"
"USW00014916","2019-01-15","0.00","18","27","-4"
"USW00014916","2019-01-16","0.00","-3","4","-12"
"USW00014916","2019-01-17","0.00","2","6","-12"
"USW00014916","2019-01-18","0.00","-9","-7","-20"
"USW00014916","2019-01-19","0.00","-14","-1","-23"
"USW00014916","2019-01-20","0.00","-12","-1","-19"
"USW00014916","2019-01-21","0.17","3","11","-1"
"USW00014916","2019-01-22","0.08","11","15","-13"
"USW00014916","2019-01-23","0.02","-2","15","-13"
"USW00014916","2019-01-24","0.01","-3","2","-21"
"USW00014916","2019-01-25","0.00","-16","-6","-28"
"USW00014916","2019-01-26","0.00","-10","-4","-22"
"USW00014916","2019-01-27","0.22","-14","2","-26"
"USW00014916","2019-01-28","0.02","-3","4","-15"
"USW00014916","2019-01-29","0.00","-16","-7","-33"
"USW00014916","2019-01-30","0.00","-29","-18","-35"
"USW00014916","2019-01-31","0.00","-21","-2","-32"
"USW00014916","2019-02-01","0.00","4","14","-2"
"USW00014916","2019-02-02","0.00","9","16","2"
"USW00014916","2019-02-03","0.08","2","11","-6"
"USW00014916","2019-02-04","0.10","-6","-3","-13"
"USW00014916","2019-02-05","0.00","-10","-5","-14"
"USW00014916","2019-02-06","0.05","-5","-2","-5"
"USW00014916","2019-02-07","0.06","-7","-4","-14"
"USW00014916","2019-02-08","0.00","-15","-8","-29"
"USW00014916","2019-02-09","0.00","-17","-5","-28"
"USW00014916","2019-02-10","0.00","-12","-1","-20"
"USW00014916","2019-02-11","0.06","-4","18","-17"
"USW00014916","2019-02-12","0.09","14","19","-11"
"USW00014916","2019-02-13","0.06","-4","6","-9"
"USW00014916","2019-02-14","0.01","2","4","-7"
"USW00014916","2019-02-15","0.00","-5","3","-18"
"USW00014916","2019-02-16","0.00","-6","8","-18"
"USW00014916","2019-02-17","0.00","-3","8","-9"
"USW00014916","2019-02-18","0.00","-4","1","-15"
"USW00014916","2019-02-19","0.00","-6","6","-13"
"USW00014916","2019-02-20","0.14","9","20","-2"
"USW00014916","2019-02-21","0.01","15","18","9"
"USW00014916","2019-02-22","0.09","4","14","-11"
"USW00014916","2019-02-23","0.19","14","19","-2"
"USW00014916","2019-02-24","0.00","4","12","-18"
"USW00014916","2019-02-25","0.00","-14","-4","-26"
"USW00014916","2019-02-26","0.05","-11","0","-19"
"USW00014916","2019-02-27","0.00","-4","8","-19"
"USW00014916","2019-02-28","0.00","7","19","-2"
"USW00014916","2019-03-01","0.04","6","14","-10"
"USW00014916","2019-03-02","0.00","-6","-1","-15"
"USW00014916","2019-03-03","0.00","-10","-2","-16"
"USW00014916","2019-03-04","0.00","-1","9","-9"
"USW00014916","2019-03-05","0.00","7","13","-9"
"USW00014916","2019-03-06","0.00","1","11","-14"
"USW00014916","2019-03-07","0.00","-5","8","-17"
"USW00014916","2019-03-08","0.00","13","22","9"
"USW00014916","2019-03-09","0.43","23","26","20"
"USW00014916","2019-03-10","0.00","18","20","-5"
"USW00014916","2019-03-11","0.00","4","18","-10"
"USW00014916","2019-03-12","0.00","22","35","13"
