"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1996-01-01","32.0","24.0","0.02","0.10","6.00"
"1996-01-02","24.0","-2.0","0.08","0.80","7.00"
"1996-01-03","13.0","-11.0","0.00","0.00","7.00"
"1996-01-04","15.0","-1.0","T","T","7.00"
"1996-01-05","0.0","-12.0","0.00","0.00","7.00"
"1996-01-06","0.0","-18.0","0.00","0.00","7.00"
"1996-01-07","8.0","-18.0","0.00","0.00","7.00"
"1996-01-08","21.0","8.0","0.00","0.00","7.00"
"1996-01-09","31.0","14.0","0.00","0.00","7.00"
"1996-01-10","27.0","15.0","0.48","5.50","12.00"
"1996-01-11","26.0","21.0","0.05","0.90","12.00"
"1996-01-12","41.0","18.0","0.00","0.00","M"
"1996-01-13","42.0","24.0","0.00","0.00","10.00"
"1996-01-14","29.0","6.0","0.00","0.00","9.00"
"1996-01-15","27.0","-3.0","0.00","0.00","9.00"
"1996-01-16","33.0","20.0","T","T","9.00"
"1996-01-17","30.0","15.0","T","0.00","9.00"
"1996-01-18","26.0","-10.0","1.39","0.80","8.00"
"1996-01-19","M","-23.0","0.02","0.90","9.00"
"1996-01-20","6.0","-15.0","0.00","0.00","9.00"
"1996-01-21","29.0","M","T","T","9.00"
"1996-01-22","23.0","-7.0","0.00","0.00","9.00"
"1996-01-23","6.0","-9.0","0.00","0.00","9.00"
"1996-01-24","9.0","-9.0","0.00","0.00","9.00"
"1996-01-25","10.0","-11.0","0.00","0.00","9.00"
"1996-01-26","11.0","-11.0","0.07","1.00","10.00"
"1996-01-27","6.0","-10.0","0.03","0.60","11.00"
"1996-01-28","18.0","-10.0","0.00","0.00","11.00"
"1996-01-29","17.0","-16.0","0.16","2.60","14.00"
"1996-01-30","-12.0","M","0.00","0.00","12.00"
"1996-01-31","0.0","-28.0","0.00","0.00","12.00"
"1996-02-01","-14.0","-31.0","0.00","0.00","12.00"
"1996-02-02","-18.0","-35.0","0.00","0.00","12.00"
"1996-02-03","-13.0","-30.0","0.00","0.00","12.00"
"1996-02-04","5.0","-29.0","0.00","0.00","12.00"
"1996-02-05","7.0","-8.0","0.00","0.00","12.00"
"1996-02-06","33.0","1.0","0.00","0.00","12.00"
"1996-02-07","41.0","29.0","T","0.00","12.00"
"1996-02-08","40.0","29.0","0.01","0.00","8.00"
"1996-02-09","42.0","19.0","0.00","0.00","5.00"
"1996-02-10","40.0","27.0","0.00","0.00","4.00"
"1996-02-11","27.0","20.0","T","0.10","4.00"
"1996-02-12","25.0","16.0","T","T","4.00"
"1996-02-13","36.0","19.0","T","T","4.00"
