site,doy,lat,lon,variable,value
ASH,2.0,46.050133,-95.87849,maxTemp_F,20.885697259514817
ASH,3.0,46.050133,-95.87849,maxTemp_F,38.89229556955822
ASH,4.0,46.050133,-95.87849,maxTemp_F,37.61991600707552
ASH,5.0,46.050133,-95.87849,maxTemp_F,33.792088145726844
ASH,6.0,46.050133,-95.87849,maxTemp_F,30.604012703317114
ASH,7.0,46.050133,-95.87849,maxTemp_F,37.09135265830353
ASH,8.0,46.050133,-95.87849,maxTemp_F,36.580575481548564
ASH,9.0,46.050133,-95.87849,maxTemp_F,12.38941784656329
ASH,10.0,46.050133,-95.87849,maxTemp_F,17.22445194437155
ASH,11.0,46.050133,-95.87849,maxTemp_F,28.81612980934513
ASH,12.0,46.050133,-95.87849,maxTemp_F,27.80212630177443
ASH,13.0,46.050133,-95.87849,maxTemp_F,28.695266256605873
ASH,14.0,46.050133,-95.87849,maxTemp_F,28.957957083457355
ASH,15.0,46.050133,-95.87849,maxTemp_F,25.461236985327986
ASH,16.0,46.050133,-95.87849,maxTemp_F,11.063460778349793
ASH,17.0,46.050133,-95.87849,maxTemp_F,13.737082273755323
ASH,18.0,46.050133,-95.87849,maxTemp_F,6.834673176268427
ASH,19.0,46.050133,-95.87849,maxTemp_F,-0.13600865167988552
ASH,20.0,46.050133,-95.87849,maxTemp_F,1.3670731153366305
ASH,21.0,46.050133,-95.87849,maxTemp_F,12.774249254938482
ASH,22.0,46.050133,-95.87849,maxTemp_F,17.453048634676314
ASH,23.0,46.050133,-95.87849,maxTemp_F,15.996581677000794
ASH,24.0,46.050133,-95.87849,maxTemp_F,15.276648903494984
ASH,25.0,46.050133,-95.87849,maxTemp_F,-0.18956309916862324
ASH,26.0,46.050133,-95.87849,maxTemp_F,3.9248365401111194
ASH,27.0,46.050133,-95.87849,maxTemp_F,2.950142544618153
ASH,28.0,46.050133,-95.87849,maxTemp_F,3.935203702327529
ASH,29.0,46.050133,-95.87849,maxTemp_F,-4.039116186770986
ASH,30.0,46.050133,-95.87849,maxTemp_F,-18.02095151911363
ASH,31.0,46.050133,-95.87849,maxTemp_F,3.5322564984234415
ASH,32.0,46.050133,-95.87849,maxTemp_F,25.048297173539595
ASH,33.0,46.050133,-95.87849,maxTemp_F,31.520625448045124
