site,doy,lat,lon,variable,value
BIS,2.0,46.9713,-100.7101,maxTemp_F,28.34518926801383
BIS,3.0,46.9713,-100.7101,maxTemp_F,36.47048066694098
BIS,4.0,46.9713,-100.7101,maxTemp_F,38.530176665452785
BIS,5.0,46.9713,-100.7101,maxTemp_F,31.40515774088596
BIS,6.0,46.9713,-100.7101,maxTemp_F,25.268154578908476
BIS,7.0,46.9713,-100.7101,maxTemp_F,35.44522336038193
BIS,8.0,46.9713,-100.7101,maxTemp_F,22.916024143861755
BIS,9.0,46.9713,-100.7101,maxTemp_F,11.4872888255264
BIS,10.0,46.9713,-100.7101,maxTemp_F,20.836065238349953
BIS,11.0,46.9713,-100.7101,maxTemp_F,14.790367782303024
BIS,12.0,46.9713,-100.7101,maxTemp_F,15.275415526388446
BIS,13.0,46.9713,-100.7101,maxTemp_F,25.241839833737373
BIS,14.0,46.9713,-100.7101,maxTemp_F,21.441826504565537
BIS,15.0,46.9713,-100.7101,maxTemp_F,22.8089460881068
BIS,16.0,46.9713,-100.7101,maxTemp_F,13.23680249652877
BIS,17.0,46.9713,-100.7101,maxTemp_F,14.67683229632004
BIS,18.0,46.9713,-100.7101,maxTemp_F,6.979089519232616
BIS,19.0,46.9713,-100.7101,maxTemp_F,3.9517820046853123
BIS,20.0,46.9713,-100.7101,maxTemp_F,4.838742977829059
BIS,21.0,46.9713,-100.7101,maxTemp_F,9.55875515322183
BIS,22.0,46.9713,-100.7101,maxTemp_F,22.365584711693817
BIS,23.0,46.9713,-100.7101,maxTemp_F,24.667125784871928
BIS,24.0,46.9713,-100.7101,maxTemp_F,3.9937627492296492
BIS,25.0,46.9713,-100.7101,maxTemp_F,6.6871996849307465
BIS,26.0,46.9713,-100.7101,maxTemp_F,17.305688902362746
BIS,27.0,46.9713,-100.7101,maxTemp_F,27.588192114755543
BIS,28.0,46.9713,-100.7101,maxTemp_F,9.810124815520549
BIS,29.0,46.9713,-100.7101,maxTemp_F,-2.8518555300272137
BIS,30.0,46.9713,-100.7101,maxTemp_F,-7.639662294227987
BIS,31.0,46.9713,-100.7101,maxTemp_F,11.344351708112804
BIS,32.0,46.9713,-100.7101,maxTemp_F,31.316199450910972
BIS,33.0,46.9713,-100.7101,maxTemp_F,18.648762652515057
BIS,34.0,46.9713,-100.7101,maxTemp_F,11.398687616339322
BIS,35.0,46.9713,-100.7101,maxTemp_F,1.2619488346407561
BIS,36.0,46.9713,-100.7101,maxTemp_F,-2.516157043195528
BIS,37.0,46.9713,-100.7101,maxTemp_F,-1.0967177271957613
BIS,38.0,46.9713,-100.7101,maxTemp_F,-4.951016864332942
BIS,39.0,46.9713,-100.7101,maxTemp_F,-4.7230621272220015
BIS,40.0,46.9713,-100.7101,maxTemp_F,-4.0269095763044795
BIS,41.0,46.9713,-100.7101,maxTemp_F,0.6322531340978442
BIS,42.0,46.9713,-100.7101,maxTemp_F,8.555137616276745
BIS,43.0,46.9713,-100.7101,maxTemp_F,3.2068815300577036
BIS,44.0,46.9713,-100.7101,maxTemp_F,-0.1179364302435223
BIS,45.0,46.9713,-100.7101,maxTemp_F,3.375705030210681
BIS,46.0,46.9713,-100.7101,maxTemp_F,5.667250421852623
BIS,47.0,46.9713,-100.7101,maxTemp_F,7.8967537834186965
BIS,48.0,46.9713,-100.7101,maxTemp_F,9.61017233857541
BIS,49.0,46.9713,-100.7101,maxTemp_F,7.652601369172913
BIS,50.0,46.9713,-100.7101,maxTemp_F,3.281309254365221
BIS,51.0,46.9713,-100.7101,maxTemp_F,8.415967310709629
BIS,52.0,46.9713,-100.7101,maxTemp_F,14.463777643099407
BIS,53.0,46.9713,-100.7101,maxTemp_F,9.171056329953627
BIS,54.0,46.9713,-100.7101,maxTemp_F,4.150443696856881
BIS,55.0,46.9713,-100.7101,maxTemp_F,3.0773477470722184
BIS,56.0,46.9713,-100.7101,maxTemp_F,1.5483852968930427
BIS,57.0,46.9713,-100.7101,maxTemp_F,3.799588836963489
BIS,58.0,46.9713,-100.7101,maxTemp_F,8.950528656771903
BIS,59.0,46.9713,-100.7101,maxTemp_F,13.907779684497308
BIS,60.0,46.9713,-100.7101,maxTemp_F,13.551639284851866
BIS,61.0,46.9713,-100.7101,maxTemp_F,3.2454819913277015
BIS,62.0,46.9713,-100.7101,maxTemp_F,1.385709459589222
BIS,63.0,46.9713,-100.7101,maxTemp_F,10.009543938802125
BIS,64.0,46.9713,-100.7101,maxTemp_F,17.071682523324846
BIS,65.0,46.9713,-100.7101,maxTemp_F,11.279593363611918
BIS,66.0,46.9713,-100.7101,maxTemp_F,12.019477876456833
BIS,67.0,46.9713,-100.7101,maxTemp_F,19.580311606154694
BIS,68.0,46.9713,-100.7101,maxTemp_F,20.38200174994853
BIS,69.0,46.9713,-100.7101,maxTemp_F,14.570140833760984
BIS,70.0,46.9713,-100.7101,maxTemp_F,21.012721868285194
BIS,71.0,46.9713,-100.7101,maxTemp_F,31.091006252750585
BIS,72.0,46.9713,-100.7101,maxTemp_F,26.35746030896911
BIS,73.0,46.9713,-100.7101,maxTemp_F,27.42600995894458
BIS,74.0,46.9713,-100.7101,maxTemp_F,29.198025008127807
BIS,75.0,46.9713,-100.7101,maxTemp_F,27.715053652815975
BIS,76.0,46.9713,-100.7101,maxTemp_F,29.882901069624317
BIS,77.0,46.9713,-100.7101,maxTemp_F,29.61302988617263
BIS,78.0,46.9713,-100.7101,maxTemp_F,32.75985367540564
BIS,79.0,46.9713,-100.7101,maxTemp_F,36.123603344767346
BIS,80.0,46.9713,-100.7101,maxTemp_F,33.649852685889776
BIS,81.0,46.9713,-100.7101,maxTemp_F,31.332143281743804
BIS,82.0,46.9713,-100.7101,maxTemp_F,29.495367068522917
BIS,83.0,46.9713,-100.7101,maxTemp_F,29.018350690437476
BIS,84.0,46.9713,-100.7101,maxTemp_F,25.189100317903247
BIS,85.0,46.9713,-100.7101,maxTemp_F,31.727039263534323
BIS,86.0,46.9713,-100.7101,maxTemp_F,44.03806182171742
BIS,87.0,46.9713,-100.7101,maxTemp_F,35.92298190636438
BIS,88.0,46.9713,-100.7101,maxTemp_F,41.229710104723154
BIS,89.0,46.9713,-100.7101,maxTemp_F,32.517979675443414
BIS,90.0,46.9713,-100.7101,maxTemp_F,36.187247009023295
BIS,91.0,46.9713,-100.7101,maxTemp_F,38.79452918809896
BIS,92.0,46.9713,-100.7101,maxTemp_F,32.74942612937182
BIS,93.0,46.9713,-100.7101,maxTemp_F,34.564557588167254
BIS,94.0,46.9713,-100.7101,maxTemp_F,40.43657017719464
BIS,95.0,46.9713,-100.7101,maxTemp_F,42.89840874369995
BIS,96.0,46.9713,-100.7101,maxTemp_F,41.19886989856572
BIS,97.0,46.9713,-100.7101,maxTemp_F,56.08028643747652
BIS,98.0,46.9713,-100.7101,maxTemp_F,42.095139511182396
BIS,99.0,46.9713,-100.7101,maxTemp_F,16.026948182796243
BIS,100.0,46.9713,-100.7101,maxTemp_F,15.381191554031183
BIS,101.0,46.9713,-100.7101,maxTemp_F,26.278903816089088
BIS,102.0,46.9713,-100.7101,maxTemp_F,31.765892622710084
BIS,103.0,46.9713,-100.7101,maxTemp_F,35.694353163266484
BIS,104.0,46.9713,-100.7101,maxTemp_F,40.21562512646233
BIS,105.0,46.9713,-100.7101,maxTemp_F,51.76081557153941
BIS,106.0,46.9713,-100.7101,maxTemp_F,52.52797636280887
BIS,107.0,46.9713,-100.7101,maxTemp_F,37.18583290470661
BIS,108.0,46.9713,-100.7101,maxTemp_F,44.97337073755487
BIS,109.0,46.9713,-100.7101,maxTemp_F,57.766929052574156
BIS,110.0,46.9713,-100.7101,maxTemp_F,60.32824430462868
BIS,111.0,46.9713,-100.7101,maxTemp_F,48.454995550256626
BIS,112.0,46.9713,-100.7101,maxTemp_F,53.38133605098335
BIS,113.0,46.9713,-100.7101,maxTemp_F,60.61007654412029
BIS,114.0,46.9713,-100.7101,maxTemp_F,33.817734639973175
BIS,115.0,46.9713,-100.7101,maxTemp_F,13.316082213333246
BIS,116.0,46.9713,-100.7101,maxTemp_F,26.0554586826271
BIS,117.0,46.9713,-100.7101,maxTemp_F,40.4149188062747
BIS,118.0,46.9713,-100.7101,maxTemp_F,30.872125613919444
BIS,119.0,46.9713,-100.7101,maxTemp_F,31.563562184698746
BIS,120.0,46.9713,-100.7101,maxTemp_F,34.680386637945645
BIS,121.0,46.9713,-100.7101,maxTemp_F,35.64314268094564
BIS,122.0,46.9713,-100.7101,maxTemp_F,48.41752708522288
BIS,123.0,46.9713,-100.7101,maxTemp_F,50.510656312841895
BIS,124.0,46.9713,-100.7101,maxTemp_F,41.007916779311245
BIS,125.0,46.9713,-100.7101,maxTemp_F,42.75408137609047
BIS,126.0,46.9713,-100.7101,maxTemp_F,43.98532810981125
BIS,127.0,46.9713,-100.7101,maxTemp_F,43.988611943001146
BIS,128.0,46.9713,-100.7101,maxTemp_F,44.82409729685068
BIS,129.0,46.9713,-100.7101,maxTemp_F,34.003714714145836
BIS,130.0,46.9713,-100.7101,maxTemp_F,34.87204543520643
BIS,131.0,46.9713,-100.7101,maxTemp_F,43.56287097751678
BIS,132.0,46.9713,-100.7101,maxTemp_F,54.22458320057799
BIS,133.0,46.9713,-100.7101,maxTemp_F,61.87211636617191
BIS,134.0,46.9713,-100.7101,maxTemp_F,60.6294211789806
BIS,135.0,46.9713,-100.7101,maxTemp_F,65.66317015412936
BIS,136.0,46.9713,-100.7101,maxTemp_F,53.837836053478206
BIS,137.0,46.9713,-100.7101,maxTemp_F,41.78028557794044
BIS,138.0,46.9713,-100.7101,maxTemp_F,35.82051237223365
BIS,139.0,46.9713,-100.7101,maxTemp_F,38.39891955446552
BIS,140.0,46.9713,-100.7101,maxTemp_F,48.79822288383379
BIS,141.0,46.9713,-100.7101,maxTemp_F,42.6454024744438
BIS,142.0,46.9713,-100.7101,maxTemp_F,43.00392701837896
BIS,143.0,46.9713,-100.7101,maxTemp_F,52.75675952058573
BIS,144.0,46.9713,-100.7101,maxTemp_F,48.83263713046617
BIS,145.0,46.9713,-100.7101,maxTemp_F,53.97378037330675
BIS,146.0,46.9713,-100.7101,maxTemp_F,45.00785409017976
BIS,147.0,46.9713,-100.7101,maxTemp_F,47.68242966006665
BIS,148.0,46.9713,-100.7101,maxTemp_F,52.29730405187182
BIS,149.0,46.9713,-100.7101,maxTemp_F,66.10514940225116
BIS,150.0,46.9713,-100.7101,maxTemp_F,69.41354509466461
BIS,151.0,46.9713,-100.7101,maxTemp_F,56.913148870200025
BIS,152.0,46.9713,-100.7101,maxTemp_F,60.50868983802711
BIS,153.0,46.9713,-100.7101,maxTemp_F,62.42134446290217
BIS,154.0,46.9713,-100.7101,maxTemp_F,70.65780193965682
