site,doy,lat,lon,variable,value
BUF,2.0,46.902652,-97.495103,maxTemp,35.85995776611897
BUF,3.0,46.902652,-97.495103,maxTemp,30.58181244470026
BUF,4.0,46.902652,-97.495103,maxTemp,28.6583913785871
BUF,5.0,46.902652,-97.495103,maxTemp,33.49437076554712
BUF,6.0,46.902652,-97.495103,maxTemp,31.829822416343703
BUF,7.0,46.902652,-97.495103,maxTemp,24.74183820321094
BUF,8.0,46.902652,-97.495103,maxTemp,10.84005817407386
BUF,9.0,46.902652,-97.495103,maxTemp,22.208547458706654
BUF,10.0,46.902652,-97.495103,maxTemp,12.399448495047869
BUF,11.0,46.902652,-97.495103,maxTemp,-0.20376233962815737
BUF,12.0,46.902652,-97.495103,maxTemp,17.38655841875436
BUF,13.0,46.902652,-97.495103,maxTemp,24.390364830963588
BUF,14.0,46.902652,-97.495103,maxTemp,20.18402823871635
BUF,15.0,46.902652,-97.495103,maxTemp,4.1075547561670565
BUF,16.0,46.902652,-97.495103,maxTemp,4.593985593914322
BUF,17.0,46.902652,-97.495103,maxTemp,19.61028007837795
BUF,18.0,46.902652,-97.495103,maxTemp,13.74580713857705
BUF,19.0,46.902652,-97.495103,maxTemp,1.8151857709908583
BUF,20.0,46.902652,-97.495103,maxTemp,3.8103610609763354
BUF,21.0,46.902652,-97.495103,maxTemp,25.675185596044926
BUF,22.0,46.902652,-97.495103,maxTemp,32.53958225456226
BUF,23.0,46.902652,-97.495103,maxTemp,26.46723170879234
BUF,24.0,46.902652,-97.495103,maxTemp,24.699088234003142
BUF,25.0,46.902652,-97.495103,maxTemp,27.080887959225326
BUF,26.0,46.902652,-97.495103,maxTemp,31.091824600066634
BUF,27.0,46.902652,-97.495103,maxTemp,23.051659982084274
BUF,28.0,46.902652,-97.495103,maxTemp,16.657711127202397
BUF,29.0,46.902652,-97.495103,maxTemp,22.59980290753721
BUF,30.0,46.902652,-97.495103,maxTemp,27.902101199797865
BUF,31.0,46.902652,-97.495103,maxTemp,29.916248985062154
BUF,32.0,46.902652,-97.495103,maxTemp,46.00346927714626
BUF,33.0,46.902652,-97.495103,maxTemp,44.04749075299722
BUF,34.0,46.902652,-97.495103,maxTemp,27.909395993329362
BUF,35.0,46.902652,-97.495103,maxTemp,19.04604396960312
BUF,36.0,46.902652,-97.495103,maxTemp,30.368309221514494
BUF,37.0,46.902652,-97.495103,maxTemp,14.772626583859283
BUF,38.0,46.902652,-97.495103,maxTemp,4.541414633524436
BUF,39.0,46.902652,-97.495103,maxTemp,26.863548824458782
BUF,40.0,46.902652,-97.495103,maxTemp,29.372835913949757
BUF,41.0,46.902652,-97.495103,maxTemp,28.545573197543362
BUF,42.0,46.902652,-97.495103,maxTemp,39.69550270520012
BUF,43.0,46.902652,-97.495103,maxTemp,29.70708505437038
BUF,44.0,46.902652,-97.495103,maxTemp,-2.5607334546167806
BUF,45.0,46.902652,-97.495103,maxTemp,23.26658789858983
BUF,46.0,46.902652,-97.495103,maxTemp,31.818502754189417
BUF,47.0,46.902652,-97.495103,maxTemp,18.24167501688324
BUF,48.0,46.902652,-97.495103,maxTemp,25.847244187681945
BUF,49.0,46.902652,-97.495103,maxTemp,15.689405712785426
BUF,50.0,46.902652,-97.495103,maxTemp,8.710170059482813
BUF,51.0,46.902652,-97.495103,maxTemp,24.79179783185453
BUF,52.0,46.902652,-97.495103,maxTemp,36.92395550871294
BUF,53.0,46.902652,-97.495103,maxTemp,36.2171548393573
BUF,54.0,46.902652,-97.495103,maxTemp,39.15171939333674
BUF,55.0,46.902652,-97.495103,maxTemp,32.49062216479774
BUF,56.0,46.902652,-97.495103,maxTemp,20.311921924552234
BUF,57.0,46.902652,-97.495103,maxTemp,17.16816916645267
BUF,58.0,46.902652,-97.495103,maxTemp,21.08258004522139
BUF,59.0,46.902652,-97.495103,maxTemp,26.99490432619224
BUF,60.0,46.902652,-97.495103,maxTemp,38.48898492507906
BUF,61.0,46.902652,-97.495103,maxTemp,39.926605689542534
BUF,62.0,46.902652,-97.495103,maxTemp,35.8106877107449
BUF,63.0,46.902652,-97.495103,maxTemp,38.20227215058104
BUF,64.0,46.902652,-97.495103,maxTemp,35.84417821826133
BUF,65.0,46.902652,-97.495103,maxTemp,33.02363704613711
BUF,66.0,46.902652,-97.495103,maxTemp,36.450028800309774
BUF,67.0,46.902652,-97.495103,maxTemp,44.39776230749839
BUF,68.0,46.902652,-97.495103,maxTemp,38.06362635844288
BUF,69.0,46.902652,-97.495103,maxTemp,20.07247842075973
BUF,70.0,46.902652,-97.495103,maxTemp,34.94458049079526
BUF,71.0,46.902652,-97.495103,maxTemp,42.77468718338885
BUF,72.0,46.902652,-97.495103,maxTemp,41.4320004213717
BUF,73.0,46.902652,-97.495103,maxTemp,26.58461707412725
BUF,74.0,46.902652,-97.495103,maxTemp,19.130564761722603
BUF,75.0,46.902652,-97.495103,maxTemp,29.038503268012157
BUF,76.0,46.902652,-97.495103,maxTemp,34.83448648145596
BUF,77.0,46.902652,-97.495103,maxTemp,37.68183904572785
BUF,78.0,46.902652,-97.495103,maxTemp,33.54492735716964
BUF,79.0,46.902652,-97.495103,maxTemp,22.073654253804424
BUF,80.0,46.902652,-97.495103,maxTemp,17.26809301355788
BUF,81.0,46.902652,-97.495103,maxTemp,32.470702145525955
BUF,82.0,46.902652,-97.495103,maxTemp,38.999856337322655
BUF,83.0,46.902652,-97.495103,maxTemp,43.621680911875146
BUF,84.0,46.902652,-97.495103,maxTemp,42.86970868115287
BUF,85.0,46.902652,-97.495103,maxTemp,35.98659301766099
BUF,86.0,46.902652,-97.495103,maxTemp,41.91751209851356
BUF,87.0,46.902652,-97.495103,maxTemp,45.68067456084907
BUF,88.0,46.902652,-97.495103,maxTemp,40.68893417807602
BUF,89.0,46.902652,-97.495103,maxTemp,51.80619131922182
BUF,90.0,46.902652,-97.495103,maxTemp,59.68004149956316
BUF,91.0,46.902652,-97.495103,maxTemp,54.649096692639674
BUF,92.0,46.902652,-97.495103,maxTemp,57.152826634575156
BUF,93.0,46.902652,-97.495103,maxTemp,32.18871628671125
