site,doy,lat,lon,variable,value
BUF,2.0,46.902652,-97.495103,minTemp_F,-2.5160045634897332
BUF,3.0,46.902652,-97.495103,minTemp_F,12.115586494952979
BUF,4.0,46.902652,-97.495103,minTemp_F,21.227547218337858
BUF,5.0,46.902652,-97.495103,minTemp_F,18.372638217467937
BUF,6.0,46.902652,-97.495103,minTemp_F,14.854881283040754
BUF,7.0,46.902652,-97.495103,minTemp_F,26.738191446496984
BUF,8.0,46.902652,-97.495103,minTemp_F,4.321495213923548
BUF,9.0,46.902652,-97.495103,minTemp_F,-0.10069861412356396
BUF,10.0,46.902652,-97.495103,minTemp_F,6.2178723887769145
BUF,11.0,46.902652,-97.495103,minTemp_F,9.295734942925316
BUF,12.0,46.902652,-97.495103,minTemp_F,16.646559976918162
BUF,13.0,46.902652,-97.495103,minTemp_F,20.495326951657148
BUF,14.0,46.902652,-97.495103,minTemp_F,15.518784692602082
BUF,15.0,46.902652,-97.495103,minTemp_F,7.696541514941176
BUF,16.0,46.902652,-97.495103,minTemp_F,4.429017670742496
BUF,17.0,46.902652,-97.495103,minTemp_F,0.03321418265840759
BUF,18.0,46.902652,-97.495103,minTemp_F,-9.414615975807791
BUF,19.0,46.902652,-97.495103,minTemp_F,-9.234912727888663
BUF,20.0,46.902652,-97.495103,minTemp_F,-5.3509957893980715
BUF,21.0,46.902652,-97.495103,minTemp_F,-3.506666191069821
BUF,22.0,46.902652,-97.495103,minTemp_F,-5.699525947792078
BUF,23.0,46.902652,-97.495103,minTemp_F,-6.347473345371727
BUF,24.0,46.902652,-97.495103,minTemp_F,-13.52466689709155
BUF,25.0,46.902652,-97.495103,minTemp_F,-12.513485755270619
BUF,26.0,46.902652,-97.495103,minTemp_F,-15.145845948895822
BUF,27.0,46.902652,-97.495103,minTemp_F,-8.538691439595265
BUF,28.0,46.902652,-97.495103,minTemp_F,-9.917748928335122
BUF,29.0,46.902652,-97.495103,minTemp_F,-27.350699595919963
BUF,30.0,46.902652,-97.495103,minTemp_F,-30.98886577761315
BUF,31.0,46.902652,-97.495103,minTemp_F,-22.971403204185286
BUF,32.0,46.902652,-97.495103,minTemp_F,3.4709652632418906
BUF,33.0,46.902652,-97.495103,minTemp_F,5.912350153270077
BUF,34.0,46.902652,-97.495103,minTemp_F,-5.342485136336482
BUF,35.0,46.902652,-97.495103,minTemp_F,-11.529282207408352
BUF,36.0,46.902652,-97.495103,minTemp_F,-9.375472311672679
BUF,37.0,46.902652,-97.495103,minTemp_F,-2.184242420288361
BUF,38.0,46.902652,-97.495103,minTemp_F,-12.303694505448075
BUF,39.0,46.902652,-97.495103,minTemp_F,-24.588401310694557
BUF,40.0,46.902652,-97.495103,minTemp_F,-17.9147323791021
BUF,41.0,46.902652,-97.495103,minTemp_F,-15.927581086728365
BUF,42.0,46.902652,-97.495103,minTemp_F,-12.625848131596374
BUF,43.0,46.902652,-97.495103,minTemp_F,-7.492995285343067
BUF,44.0,46.902652,-97.495103,minTemp_F,-7.752850603662967
BUF,45.0,46.902652,-97.495103,minTemp_F,-6.949696267837574
BUF,46.0,46.902652,-97.495103,minTemp_F,-15.32582198021105
BUF,47.0,46.902652,-97.495103,minTemp_F,-10.339190736939992
BUF,48.0,46.902652,-97.495103,minTemp_F,0.5599479536705961
BUF,49.0,46.902652,-97.495103,minTemp_F,-10.596943501594327
BUF,50.0,46.902652,-97.495103,minTemp_F,-9.225239785226474
BUF,51.0,46.902652,-97.495103,minTemp_F,11.141837867459708
BUF,52.0,46.902652,-97.495103,minTemp_F,1.736850850017527
BUF,53.0,46.902652,-97.495103,minTemp_F,-8.23155138947914
BUF,54.0,46.902652,-97.495103,minTemp_F,2.3454713948884764
BUF,55.0,46.902652,-97.495103,minTemp_F,-11.653588195565627
BUF,56.0,46.902652,-97.495103,minTemp_F,-18.186175626837873
BUF,57.0,46.902652,-97.495103,minTemp_F,-14.049990197960472
BUF,58.0,46.902652,-97.495103,minTemp_F,-12.727722712549783
BUF,59.0,46.902652,-97.495103,minTemp_F,-5.845135202043339
BUF,60.0,46.902652,-97.495103,minTemp_F,-7.935996228279386
BUF,61.0,46.902652,-97.495103,minTemp_F,-15.107431215711237
BUF,62.0,46.902652,-97.495103,minTemp_F,-14.190554311631377
BUF,63.0,46.902652,-97.495103,minTemp_F,-7.2898497694304165
BUF,64.0,46.902652,-97.495103,minTemp_F,-6.223797798126349
BUF,65.0,46.902652,-97.495103,minTemp_F,-15.465840797732726
BUF,66.0,46.902652,-97.495103,minTemp_F,-15.12362697503816
BUF,67.0,46.902652,-97.495103,minTemp_F,11.41714225368231
BUF,68.0,46.902652,-97.495103,minTemp_F,15.889884383041437
BUF,69.0,46.902652,-97.495103,minTemp_F,-2.4767524874184375
BUF,70.0,46.902652,-97.495103,minTemp_F,-6.466224568343877
BUF,71.0,46.902652,-97.495103,minTemp_F,8.779390055864368
BUF,72.0,46.902652,-97.495103,minTemp_F,18.401325013630633
BUF,73.0,46.902652,-97.495103,minTemp_F,19.109724578196086
BUF,74.0,46.902652,-97.495103,minTemp_F,10.918899639891885
BUF,75.0,46.902652,-97.495103,minTemp_F,1.2823889808134519
BUF,76.0,46.902652,-97.495103,minTemp_F,0.007000010562292769
BUF,77.0,46.902652,-97.495103,minTemp_F,11.264910090975231
BUF,78.0,46.902652,-97.495103,minTemp_F,24.015742291136664
BUF,79.0,46.902652,-97.495103,minTemp_F,22.210117636537767
BUF,80.0,46.902652,-97.495103,minTemp_F,17.767178447639928
BUF,81.0,46.902652,-97.495103,minTemp_F,10.86123536463345
BUF,82.0,46.902652,-97.495103,minTemp_F,16.810964960895653
BUF,83.0,46.902652,-97.495103,minTemp_F,19.069571374268197
BUF,84.0,46.902652,-97.495103,minTemp_F,15.747797175644815
BUF,85.0,46.902652,-97.495103,minTemp_F,20.779337870712236
BUF,86.0,46.902652,-97.495103,minTemp_F,30.671182061774342
BUF,87.0,46.902652,-97.495103,minTemp_F,22.05491732295547
BUF,88.0,46.902652,-97.495103,minTemp_F,16.330662970918624
BUF,89.0,46.902652,-97.495103,minTemp_F,17.69738194704526
BUF,90.0,46.902652,-97.495103,minTemp_F,19.172900597867454
BUF,91.0,46.902652,-97.495103,minTemp_F,26.91499896089806
BUF,92.0,46.902652,-97.495103,minTemp_F,27.4164473390879
BUF,93.0,46.902652,-97.495103,minTemp_F,23.251880389257796
BUF,94.0,46.902652,-97.495103,minTemp_F,27.1682097302866
BUF,95.0,46.902652,-97.495103,minTemp_F,31.609042924754842
BUF,96.0,46.902652,-97.495103,minTemp_F,34.13544069521809
BUF,97.0,46.902652,-97.495103,minTemp_F,28.87807535556511
BUF,98.0,46.902652,-97.495103,minTemp_F,25.83592748920867
BUF,99.0,46.902652,-97.495103,minTemp_F,25.259137182831612
BUF,100.0,46.902652,-97.495103,minTemp_F,23.987508080653534
BUF,101.0,46.902652,-97.495103,minTemp_F,24.2174530776934
BUF,102.0,46.902652,-97.495103,minTemp_F,22.194839540620382
BUF,103.0,46.902652,-97.495103,minTemp_F,18.900882574580848
BUF,104.0,46.902652,-97.495103,minTemp_F,20.9101332083377
BUF,105.0,46.902652,-97.495103,minTemp_F,29.1523548700335
BUF,106.0,46.902652,-97.495103,minTemp_F,30.888479023559995
BUF,107.0,46.902652,-97.495103,minTemp_F,34.49956559502271
BUF,108.0,46.902652,-97.495103,minTemp_F,32.226520245169134
BUF,109.0,46.902652,-97.495103,minTemp_F,29.193548464933027
BUF,110.0,46.902652,-97.495103,minTemp_F,43.47327830418315
BUF,111.0,46.902652,-97.495103,minTemp_F,41.73700693306848
BUF,112.0,46.902652,-97.495103,minTemp_F,36.06694769642019
BUF,113.0,46.902652,-97.495103,minTemp_F,29.751219273040334
BUF,114.0,46.902652,-97.495103,minTemp_F,35.941764933125484
BUF,115.0,46.902652,-97.495103,minTemp_F,25.76367534248542
BUF,116.0,46.902652,-97.495103,minTemp_F,16.323272924352093
BUF,117.0,46.902652,-97.495103,minTemp_F,26.301153555620164
BUF,118.0,46.902652,-97.495103,minTemp_F,34.042781340807096
BUF,119.0,46.902652,-97.495103,minTemp_F,32.0924513371248
BUF,120.0,46.902652,-97.495103,minTemp_F,31.918829571157744
BUF,121.0,46.902652,-97.495103,minTemp_F,33.89010770368498
BUF,122.0,46.902652,-97.495103,minTemp_F,29.869591922977012
BUF,123.0,46.902652,-97.495103,minTemp_F,28.390425528777307
BUF,124.0,46.902652,-97.495103,minTemp_F,32.0240314182773
BUF,125.0,46.902652,-97.495103,minTemp_F,28.980383957048968
BUF,126.0,46.902652,-97.495103,minTemp_F,24.472100047965174
BUF,127.0,46.902652,-97.495103,minTemp_F,22.236548292766077
BUF,128.0,46.902652,-97.495103,minTemp_F,40.02017900945849
BUF,129.0,46.902652,-97.495103,minTemp_F,30.160887286716406
BUF,130.0,46.902652,-97.495103,minTemp_F,24.208243297930988
BUF,131.0,46.902652,-97.495103,minTemp_F,39.64319710269608
BUF,132.0,46.902652,-97.495103,minTemp_F,37.883501673080524
BUF,133.0,46.902652,-97.495103,minTemp_F,40.66107223986833
BUF,134.0,46.902652,-97.495103,minTemp_F,36.43322484680566
BUF,135.0,46.902652,-97.495103,minTemp_F,33.785243804363375
BUF,136.0,46.902652,-97.495103,minTemp_F,39.55847864497803
BUF,137.0,46.902652,-97.495103,minTemp_F,36.37330019434866
BUF,138.0,46.902652,-97.495103,minTemp_F,38.43045770911746
BUF,139.0,46.902652,-97.495103,minTemp_F,32.62553090671218
BUF,140.0,46.902652,-97.495103,minTemp_F,25.557892083337947
BUF,141.0,46.902652,-97.495103,minTemp_F,33.28297262717487
BUF,142.0,46.902652,-97.495103,minTemp_F,41.1057096132403
BUF,143.0,46.902652,-97.495103,minTemp_F,33.8215228061628
BUF,144.0,46.902652,-97.495103,minTemp_F,37.164013601438526
BUF,145.0,46.902652,-97.495103,minTemp_F,37.023825410743875
BUF,146.0,46.902652,-97.495103,minTemp_F,32.41963919477031
BUF,147.0,46.902652,-97.495103,minTemp_F,41.294113121296455
BUF,148.0,46.902652,-97.495103,minTemp_F,34.81634325671902
BUF,149.0,46.902652,-97.495103,minTemp_F,42.5123568716947
BUF,150.0,46.902652,-97.495103,minTemp_F,51.27016771655466
BUF,151.0,46.902652,-97.495103,minTemp_F,46.15436861705359
BUF,152.0,46.902652,-97.495103,minTemp_F,37.16672198381598
BUF,153.0,46.902652,-97.495103,minTemp_F,41.39212563583197
BUF,154.0,46.902652,-97.495103,minTemp_F,51.06615583565626
BUF,155.0,46.902652,-97.495103,minTemp_F,49.75146059304639
BUF,156.0,46.902652,-97.495103,minTemp_F,51.06200631640941
BUF,157.0,46.902652,-97.495103,minTemp_F,54.16293475898007
BUF,158.0,46.902652,-97.495103,minTemp_F,60.52071693621939
BUF,159.0,46.902652,-97.495103,minTemp_F,48.561514790663814
BUF,160.0,46.902652,-97.495103,minTemp_F,45.79353226300217
BUF,161.0,46.902652,-97.495103,minTemp_F,43.12187434030677
BUF,162.0,46.902652,-97.495103,minTemp_F,44.4745323278134
BUF,163.0,46.902652,-97.495103,minTemp_F,38.98836899734176
BUF,164.0,46.902652,-97.495103,minTemp_F,42.23015711213703
BUF,165.0,46.902652,-97.495103,minTemp_F,54.70394882194174
BUF,166.0,46.902652,-97.495103,minTemp_F,49.22685520748908
BUF,167.0,46.902652,-97.495103,minTemp_F,47.10566959482368
BUF,168.0,46.902652,-97.495103,minTemp_F,45.571717405850436
BUF,169.0,46.902652,-97.495103,minTemp_F,44.99025405313999
BUF,170.0,46.902652,-97.495103,minTemp_F,45.13568502152182
BUF,171.0,46.902652,-97.495103,minTemp_F,46.70163269201315
BUF,172.0,46.902652,-97.495103,minTemp_F,51.06321343318565
BUF,173.0,46.902652,-97.495103,minTemp_F,47.72171308952481
BUF,174.0,46.902652,-97.495103,minTemp_F,47.99918961891795
BUF,175.0,46.902652,-97.495103,minTemp_F,49.72323151070088
BUF,176.0,46.902652,-97.495103,minTemp_F,51.476559023234564
BUF,177.0,46.902652,-97.495103,minTemp_F,50.72226137420844
BUF,178.0,46.902652,-97.495103,minTemp_F,56.294200702302795
BUF,179.0,46.902652,-97.495103,minTemp_F,55.99620016038649
BUF,180.0,46.902652,-97.495103,minTemp_F,56.660224761446656
BUF,181.0,46.902652,-97.495103,minTemp_F,62.14731921932681
BUF,182.0,46.902652,-97.495103,minTemp_F,57.99985915026605
BUF,183.0,46.902652,-97.495103,minTemp_F,54.052510606687136
BUF,184.0,46.902652,-97.495103,minTemp_F,57.495114833106726
BUF,185.0,46.902652,-97.495103,minTemp_F,53.556115172850575
BUF,186.0,46.902652,-97.495103,minTemp_F,55.90881988739205
BUF,187.0,46.902652,-97.495103,minTemp_F,49.64356986741123
BUF,188.0,46.902652,-97.495103,minTemp_F,49.198209926022756
BUF,189.0,46.902652,-97.495103,minTemp_F,59.82828385400665
BUF,190.0,46.902652,-97.495103,minTemp_F,57.88397679413852
BUF,191.0,46.902652,-97.495103,minTemp_F,49.012402142608295
BUF,192.0,46.902652,-97.495103,minTemp_F,52.87517704191073
BUF,193.0,46.902652,-97.495103,minTemp_F,61.93449326196088
BUF,194.0,46.902652,-97.495103,minTemp_F,60.95947248572903
BUF,195.0,46.902652,-97.495103,minTemp_F,62.56566367635735
BUF,196.0,46.902652,-97.495103,minTemp_F,62.28235812949824
BUF,197.0,46.902652,-97.495103,minTemp_F,58.43552874880261
BUF,198.0,46.902652,-97.495103,minTemp_F,44.68147684848441
BUF,199.0,46.902652,-97.495103,minTemp_F,45.32707236440663
BUF,200.0,46.902652,-97.495103,minTemp_F,55.74855396180156
BUF,201.0,46.902652,-97.495103,minTemp_F,55.87830538958426
BUF,202.0,46.902652,-97.495103,minTemp_F,50.84269463375692
BUF,203.0,46.902652,-97.495103,minTemp_F,47.245522876769876
BUF,204.0,46.902652,-97.495103,minTemp_F,49.89261412246837
BUF,205.0,46.902652,-97.495103,minTemp_F,54.58553238455673
BUF,206.0,46.902652,-97.495103,minTemp_F,59.86656099851269
BUF,207.0,46.902652,-97.495103,minTemp_F,54.47410796153661
BUF,208.0,46.902652,-97.495103,minTemp_F,54.54823523109292
BUF,209.0,46.902652,-97.495103,minTemp_F,57.22968805568192
BUF,210.0,46.902652,-97.495103,minTemp_F,47.0856711107146
BUF,211.0,46.902652,-97.495103,minTemp_F,41.204672071359894
BUF,212.0,46.902652,-97.495103,minTemp_F,47.441574946534615
BUF,213.0,46.902652,-97.495103,minTemp_F,58.00293944853142
BUF,214.0,46.902652,-97.495103,minTemp_F,60.35072076067959
