site,doy,lat,lon,variable,value
FER,2.0,47.56561,-96.13596,minTemp_F,-28.161623291609416
FER,3.0,47.56561,-96.13596,minTemp_F,-2.1108510322145255
FER,4.0,47.56561,-96.13596,minTemp_F,17.84110254731484
FER,5.0,47.56561,-96.13596,minTemp_F,14.158016975042496
FER,6.0,47.56561,-96.13596,minTemp_F,10.890846684513518
FER,7.0,47.56561,-96.13596,minTemp_F,6.986745523332505
FER,8.0,47.56561,-96.13596,minTemp_F,0.24861641165836978
FER,9.0,47.56561,-96.13596,minTemp_F,-6.2485670775054025
FER,10.0,47.56561,-96.13596,minTemp_F,-3.3144480820787265
FER,11.0,47.56561,-96.13596,minTemp_F,7.843957252310162
FER,12.0,47.56561,-96.13596,minTemp_F,1.0457529493553608
FER,13.0,47.56561,-96.13596,minTemp_F,10.374450193838925
FER,14.0,47.56561,-96.13596,minTemp_F,12.441283408482711
FER,15.0,47.56561,-96.13596,minTemp_F,19.347045525852835
FER,16.0,47.56561,-96.13596,minTemp_F,-7.97379813501237
FER,17.0,47.56561,-96.13596,minTemp_F,-15.42488252957343
FER,18.0,47.56561,-96.13596,minTemp_F,-11.295734955098599
FER,19.0,47.56561,-96.13596,minTemp_F,-23.02316805657382
FER,20.0,47.56561,-96.13596,minTemp_F,-32.76308557208955
FER,21.0,47.56561,-96.13596,minTemp_F,-21.855137142642334
FER,22.0,47.56561,-96.13596,minTemp_F,7.150008094104525
FER,23.0,47.56561,-96.13596,minTemp_F,-3.629853886848835
FER,24.0,47.56561,-96.13596,minTemp_F,-1.174976574378917
FER,25.0,47.56561,-96.13596,minTemp_F,-13.169182046705089
FER,26.0,47.56561,-96.13596,minTemp_F,-23.817567581996627
FER,27.0,47.56561,-96.13596,minTemp_F,-25.254384592947524
FER,28.0,47.56561,-96.13596,minTemp_F,-19.13305992611531
FER,29.0,47.56561,-96.13596,minTemp_F,-10.77644115886853
FER,30.0,47.56561,-96.13596,minTemp_F,-24.498860617020686
FER,31.0,47.56561,-96.13596,minTemp_F,-38.75232276280228
FER,32.0,47.56561,-96.13596,minTemp_F,-23.758854990981607
FER,33.0,47.56561,-96.13596,minTemp_F,2.2353201260664726
FER,34.0,47.56561,-96.13596,minTemp_F,3.2838036505386308
FER,35.0,47.56561,-96.13596,minTemp_F,4.401554239640308
FER,36.0,47.56561,-96.13596,minTemp_F,-14.178636798511501
FER,37.0,47.56561,-96.13596,minTemp_F,-12.196886811585344
FER,38.0,47.56561,-96.13596,minTemp_F,3.282736490605707
FER,39.0,47.56561,-96.13596,minTemp_F,-14.036291929095196
FER,40.0,47.56561,-96.13596,minTemp_F,-18.17018295670043
FER,41.0,47.56561,-96.13596,minTemp_F,-11.00382517582601
FER,42.0,47.56561,-96.13596,minTemp_F,-4.309826758572685
FER,43.0,47.56561,-96.13596,minTemp_F,7.015348561074044
FER,44.0,47.56561,-96.13596,minTemp_F,1.5359284618715918
FER,45.0,47.56561,-96.13596,minTemp_F,1.8142174140237088
FER,46.0,47.56561,-96.13596,minTemp_F,-7.860761769559981
FER,47.0,47.56561,-96.13596,minTemp_F,-13.667915366475372
FER,48.0,47.56561,-96.13596,minTemp_F,-12.37864682215113
FER,49.0,47.56561,-96.13596,minTemp_F,-10.223839221704383
FER,50.0,47.56561,-96.13596,minTemp_F,-13.362345384534049
FER,51.0,47.56561,-96.13596,minTemp_F,-14.048572416184893
FER,52.0,47.56561,-96.13596,minTemp_F,13.243701024109768
FER,53.0,47.56561,-96.13596,minTemp_F,3.808387747571718
FER,54.0,47.56561,-96.13596,minTemp_F,-2.1732538197182265
FER,55.0,47.56561,-96.13596,minTemp_F,-3.076865849771278
FER,56.0,47.56561,-96.13596,minTemp_F,-20.6398233762014
FER,57.0,47.56561,-96.13596,minTemp_F,-18.81070842964523
FER,58.0,47.56561,-96.13596,minTemp_F,-7.716365321021572
FER,59.0,47.56561,-96.13596,minTemp_F,-4.26365421045973
FER,60.0,47.56561,-96.13596,minTemp_F,-2.0825661843366134
FER,61.0,47.56561,-96.13596,minTemp_F,-14.180345635516588
FER,62.0,47.56561,-96.13596,minTemp_F,-17.67358307458498
