site,doy,lat,lon,variable,value
FER,2.0,47.56561,-96.13596,precip_cum,-0.000895310620653289
FER,3.0,47.56561,-96.13596,precip_cum,0.013582734045485712
FER,4.0,47.56561,-96.13596,precip_cum,0.03533139934762053
FER,5.0,47.56561,-96.13596,precip_cum,0.02301479478011248
FER,6.0,47.56561,-96.13596,precip_cum,-0.021803406364700906
FER,7.0,47.56561,-96.13596,precip_cum,-0.01804866867642979
FER,8.0,47.56561,-96.13596,precip_cum,0.050329606434214996
FER,9.0,47.56561,-96.13596,precip_cum,0.06286884075551313
FER,10.0,47.56561,-96.13596,precip_cum,0.05414172910507631
FER,11.0,47.56561,-96.13596,precip_cum,0.055023252111776166
FER,12.0,47.56561,-96.13596,precip_cum,0.05702576394840975
FER,13.0,47.56561,-96.13596,precip_cum,0.057052942296746956
FER,14.0,47.56561,-96.13596,precip_cum,0.05489348775482217
FER,15.0,47.56561,-96.13596,precip_cum,0.05584725269146418
FER,16.0,47.56561,-96.13596,precip_cum,0.07691869209848701
FER,17.0,47.56561,-96.13596,precip_cum,0.12836766632312946
FER,18.0,47.56561,-96.13596,precip_cum,0.08887559995811323
FER,19.0,47.56561,-96.13596,precip_cum,0.08230922246511874
FER,20.0,47.56561,-96.13596,precip_cum,0.08009244359694456
FER,21.0,47.56561,-96.13596,precip_cum,0.11487854221490856
FER,22.0,47.56561,-96.13596,precip_cum,0.3975925287219191
FER,23.0,47.56561,-96.13596,precip_cum,0.5413249870023797
FER,24.0,47.56561,-96.13596,precip_cum,0.5950340556173117
FER,25.0,47.56561,-96.13596,precip_cum,0.5976188895527628
FER,26.0,47.56561,-96.13596,precip_cum,0.6727083517079535
FER,27.0,47.56561,-96.13596,precip_cum,1.0144789347747718
FER,28.0,47.56561,-96.13596,precip_cum,1.1001655579056546
FER,29.0,47.56561,-96.13596,precip_cum,1.0284974137718592
FER,30.0,47.56561,-96.13596,precip_cum,1.0668961679797633
FER,31.0,47.56561,-96.13596,precip_cum,1.0451292109599564
FER,32.0,47.56561,-96.13596,precip_cum,0.9960397780540404
FER,33.0,47.56561,-96.13596,precip_cum,1.0494149029985067
FER,34.0,47.56561,-96.13596,precip_cum,1.0912198324525946
FER,35.0,47.56561,-96.13596,precip_cum,1.3087264063606163
FER,36.0,47.56561,-96.13596,precip_cum,1.442439785970251
FER,37.0,47.56561,-96.13596,precip_cum,1.502666249551865
FER,38.0,47.56561,-96.13596,precip_cum,1.6967036806883442
FER,39.0,47.56561,-96.13596,precip_cum,1.755608856854579
FER,40.0,47.56561,-96.13596,precip_cum,1.7514296570127748
FER,41.0,47.56561,-96.13596,precip_cum,1.8465557870276958
FER,42.0,47.56561,-96.13596,precip_cum,1.8433466873358526
FER,43.0,47.56561,-96.13596,precip_cum,1.8825087672683498
FER,44.0,47.56561,-96.13596,precip_cum,1.9005696084407049
FER,45.0,47.56561,-96.13596,precip_cum,1.918326864210318
FER,46.0,47.56561,-96.13596,precip_cum,1.9385389967023063
FER,47.0,47.56561,-96.13596,precip_cum,1.9184915973617205
FER,48.0,47.56561,-96.13596,precip_cum,1.9288901064654673
FER,49.0,47.56561,-96.13596,precip_cum,1.9419925772305948
FER,50.0,47.56561,-96.13596,precip_cum,1.9379178129733923
FER,51.0,47.56561,-96.13596,precip_cum,2.011317745463991
FER,52.0,47.56561,-96.13596,precip_cum,2.194743363887409
FER,53.0,47.56561,-96.13596,precip_cum,2.2642850207603873
FER,54.0,47.56561,-96.13596,precip_cum,2.414441919653455
FER,55.0,47.56561,-96.13596,precip_cum,2.581669524081571
FER,56.0,47.56561,-96.13596,precip_cum,2.53207802436018
FER,57.0,47.56561,-96.13596,precip_cum,2.5805793181152996
FER,58.0,47.56561,-96.13596,precip_cum,2.6149309489137966
FER,59.0,47.56561,-96.13596,precip_cum,2.61443723809269
