site,doy,lat,lon,variable,value
HRC,2.0,44.867585,-93.635,maxTemp_F,22.90927930347435
HRC,3.0,44.867585,-93.635,maxTemp_F,40.73924180916276
HRC,4.0,44.867585,-93.635,maxTemp_F,44.42539144431788
HRC,5.0,44.867585,-93.635,maxTemp_F,43.32156044064993
HRC,6.0,44.867585,-93.635,maxTemp_F,36.58395895427026
HRC,7.0,44.867585,-93.635,maxTemp_F,41.70911044036339
HRC,8.0,44.867585,-93.635,maxTemp_F,36.44781369874296
HRC,9.0,44.867585,-93.635,maxTemp_F,12.841249949805714
HRC,10.0,44.867585,-93.635,maxTemp_F,23.475282282570006
HRC,11.0,44.867585,-93.635,maxTemp_F,31.958619814313014
HRC,12.0,44.867585,-93.635,maxTemp_F,29.38310476937974
HRC,13.0,44.867585,-93.635,maxTemp_F,34.60904229141053
HRC,14.0,44.867585,-93.635,maxTemp_F,41.19040089251837
HRC,15.0,44.867585,-93.635,maxTemp_F,31.458473101305543
HRC,16.0,44.867585,-93.635,maxTemp_F,17.610824075981014
HRC,17.0,44.867585,-93.635,maxTemp_F,20.974731047897677
HRC,18.0,44.867585,-93.635,maxTemp_F,11.332892132178216
HRC,19.0,44.867585,-93.635,maxTemp_F,7.574952939927272
HRC,20.0,44.867585,-93.635,maxTemp_F,8.219602363588514
HRC,21.0,44.867585,-93.635,maxTemp_F,15.531662054382167
HRC,22.0,44.867585,-93.635,maxTemp_F,18.098811308771786
HRC,23.0,44.867585,-93.635,maxTemp_F,19.948735818178704
HRC,24.0,44.867585,-93.635,maxTemp_F,17.27163300064612
HRC,25.0,44.867585,-93.635,maxTemp_F,16.046157657575833
HRC,26.0,44.867585,-93.635,maxTemp_F,9.460706606255556
HRC,27.0,44.867585,-93.635,maxTemp_F,3.318592707368694
HRC,28.0,44.867585,-93.635,maxTemp_F,10.80928778773145
HRC,29.0,44.867585,-93.635,maxTemp_F,0.44314986421547076
HRC,30.0,44.867585,-93.635,maxTemp_F,-16.74778534462078
HRC,31.0,44.867585,-93.635,maxTemp_F,-3.2933283004000202
HRC,32.0,44.867585,-93.635,maxTemp_F,17.002325931270207
HRC,33.0,44.867585,-93.635,maxTemp_F,38.36310913707254
HRC,34.0,44.867585,-93.635,maxTemp_F,38.363262474550254
HRC,35.0,44.867585,-93.635,maxTemp_F,31.312629494007638
HRC,36.0,44.867585,-93.635,maxTemp_F,11.770364594101693
HRC,37.0,44.867585,-93.635,maxTemp_F,15.592310848122679
HRC,38.0,44.867585,-93.635,maxTemp_F,17.292799453655192
HRC,39.0,44.867585,-93.635,maxTemp_F,-3.3752561370454828
HRC,40.0,44.867585,-93.635,maxTemp_F,4.666025361392968
HRC,41.0,44.867585,-93.635,maxTemp_F,20.224551472690997
HRC,42.0,44.867585,-93.635,maxTemp_F,22.74936989146522
HRC,43.0,44.867585,-93.635,maxTemp_F,23.240697112066755
HRC,44.0,44.867585,-93.635,maxTemp_F,18.531428761430334
HRC,45.0,44.867585,-93.635,maxTemp_F,20.218249650256496
HRC,46.0,44.867585,-93.635,maxTemp_F,12.349115538193644
HRC,47.0,44.867585,-93.635,maxTemp_F,19.749209620219176
HRC,48.0,44.867585,-93.635,maxTemp_F,23.668719931105244
HRC,49.0,44.867585,-93.635,maxTemp_F,18.976287536357916
HRC,50.0,44.867585,-93.635,maxTemp_F,18.63021556819649
HRC,51.0,44.867585,-93.635,maxTemp_F,25.723038989753746
HRC,52.0,44.867585,-93.635,maxTemp_F,16.634064413350842
HRC,53.0,44.867585,-93.635,maxTemp_F,26.157713040454
HRC,54.0,44.867585,-93.635,maxTemp_F,32.013933846915826
HRC,55.0,44.867585,-93.635,maxTemp_F,27.455669654708604
HRC,56.0,44.867585,-93.635,maxTemp_F,1.627741229831372
HRC,57.0,44.867585,-93.635,maxTemp_F,6.394408123534504
HRC,58.0,44.867585,-93.635,maxTemp_F,9.352405045180546
HRC,59.0,44.867585,-93.635,maxTemp_F,18.506919612823367
HRC,60.0,44.867585,-93.635,maxTemp_F,29.36161300331071
HRC,61.0,44.867585,-93.635,maxTemp_F,16.925306166042873
HRC,62.0,44.867585,-93.635,maxTemp_F,-5.655600843550964
HRC,63.0,44.867585,-93.635,maxTemp_F,6.382023502749345
HRC,64.0,44.867585,-93.635,maxTemp_F,14.322664202657478
HRC,65.0,44.867585,-93.635,maxTemp_F,19.85824261010032
HRC,66.0,44.867585,-93.635,maxTemp_F,21.776201825886915
HRC,67.0,44.867585,-93.635,maxTemp_F,31.97212148237861
HRC,68.0,44.867585,-93.635,maxTemp_F,34.077476291324786
HRC,69.0,44.867585,-93.635,maxTemp_F,31.41838803787521
HRC,70.0,44.867585,-93.635,maxTemp_F,27.92325002914734
HRC,71.0,44.867585,-93.635,maxTemp_F,35.60112715217068
HRC,72.0,44.867585,-93.635,maxTemp_F,43.740650229195566
HRC,73.0,44.867585,-93.635,maxTemp_F,42.18302662696566
HRC,74.0,44.867585,-93.635,maxTemp_F,34.65584609589561
HRC,75.0,44.867585,-93.635,maxTemp_F,32.609414247485475
HRC,76.0,44.867585,-93.635,maxTemp_F,38.15254784826486
HRC,77.0,44.867585,-93.635,maxTemp_F,36.652279213003254
HRC,78.0,44.867585,-93.635,maxTemp_F,44.27021360289845
HRC,79.0,44.867585,-93.635,maxTemp_F,46.16063700530569
HRC,80.0,44.867585,-93.635,maxTemp_F,47.64488464341996
HRC,81.0,44.867585,-93.635,maxTemp_F,47.42195533993066
HRC,82.0,44.867585,-93.635,maxTemp_F,51.33467779495352
HRC,83.0,44.867585,-93.635,maxTemp_F,50.83667855372131
HRC,84.0,44.867585,-93.635,maxTemp_F,43.96838139104101
HRC,85.0,44.867585,-93.635,maxTemp_F,49.238833232013235
HRC,86.0,44.867585,-93.635,maxTemp_F,62.706538775953874
HRC,87.0,44.867585,-93.635,maxTemp_F,50.15981180789754
HRC,88.0,44.867585,-93.635,maxTemp_F,42.47682138873964
HRC,89.0,44.867585,-93.635,maxTemp_F,34.63030932290691
HRC,90.0,44.867585,-93.635,maxTemp_F,36.20619683226869
HRC,91.0,44.867585,-93.635,maxTemp_F,42.20421607493884
HRC,92.0,44.867585,-93.635,maxTemp_F,47.34600617659675
HRC,93.0,44.867585,-93.635,maxTemp_F,48.344304115838995
HRC,94.0,44.867585,-93.635,maxTemp_F,44.3592494747724
HRC,95.0,44.867585,-93.635,maxTemp_F,51.78575270553729
HRC,96.0,44.867585,-93.635,maxTemp_F,53.1576554591211
HRC,97.0,44.867585,-93.635,maxTemp_F,47.291151502638165
