site,doy,lat,lon,variable,value
HRC,2.0,44.867585,-93.635,precip_cum,-0.010580340421980194
HRC,3.0,44.867585,-93.635,precip_cum,2.1479184653117045e-07
HRC,4.0,44.867585,-93.635,precip_cum,-9.364853426063746e-08
HRC,5.0,44.867585,-93.635,precip_cum,-1.944403749121193e-09
HRC,6.0,44.867585,-93.635,precip_cum,0.0009541772645622615
HRC,7.0,44.867585,-93.635,precip_cum,0.004499291299687513
HRC,8.0,44.867585,-93.635,precip_cum,-0.0028395738722046815
HRC,9.0,44.867585,-93.635,precip_cum,-0.0034048849476135956
HRC,10.0,44.867585,-93.635,precip_cum,-0.006805955014236531
HRC,11.0,44.867585,-93.635,precip_cum,-0.020457116366671357
HRC,12.0,44.867585,-93.635,precip_cum,0.05553845484857334
HRC,13.0,44.867585,-93.635,precip_cum,0.12382414052008528
HRC,14.0,44.867585,-93.635,precip_cum,0.34877466143444735
HRC,15.0,44.867585,-93.635,precip_cum,0.2329186237605967
HRC,16.0,44.867585,-93.635,precip_cum,0.23139809979261372
HRC,17.0,44.867585,-93.635,precip_cum,0.4274833374867626
HRC,18.0,44.867585,-93.635,precip_cum,0.5706022276957015
HRC,19.0,44.867585,-93.635,precip_cum,0.601892923767366
HRC,20.0,44.867585,-93.635,precip_cum,0.6749816720637227
HRC,21.0,44.867585,-93.635,precip_cum,0.601250504330153
HRC,22.0,44.867585,-93.635,precip_cum,0.6461203045714683
HRC,23.0,44.867585,-93.635,precip_cum,0.7212475611049456
HRC,24.0,44.867585,-93.635,precip_cum,0.831360185749304
HRC,25.0,44.867585,-93.635,precip_cum,0.8187699444128782
HRC,26.0,44.867585,-93.635,precip_cum,0.8067200528504586
HRC,27.0,44.867585,-93.635,precip_cum,0.8105751137405086
HRC,28.0,44.867585,-93.635,precip_cum,0.8493383273339887
HRC,29.0,44.867585,-93.635,precip_cum,0.8299119620645143
HRC,30.0,44.867585,-93.635,precip_cum,0.8371192580354521
