site,doy,lat,lon,variable,value
SMI,2.0,44.41897,-92.942041,maxTemp,37.32962211381218
SMI,3.0,44.41897,-92.942041,maxTemp,40.23153242601748
SMI,4.0,44.41897,-92.942041,maxTemp,38.693139642074755
SMI,5.0,44.41897,-92.942041,maxTemp,33.212681873584415
SMI,6.0,44.41897,-92.942041,maxTemp,40.5035839922445
SMI,7.0,44.41897,-92.942041,maxTemp,42.884703422535296
SMI,8.0,44.41897,-92.942041,maxTemp,31.86740071568974
SMI,9.0,44.41897,-92.942041,maxTemp,24.586134412858655
SMI,10.0,44.41897,-92.942041,maxTemp,39.035501630578665
SMI,11.0,44.41897,-92.942041,maxTemp,30.37659389063991
SMI,12.0,44.41897,-92.942041,maxTemp,18.8527501114675
SMI,13.0,44.41897,-92.942041,maxTemp,22.560417544725112
SMI,14.0,44.41897,-92.942041,maxTemp,34.66550030551164
SMI,15.0,44.41897,-92.942041,maxTemp,39.29465139559784
SMI,16.0,44.41897,-92.942041,maxTemp,28.490464791317976
SMI,17.0,44.41897,-92.942041,maxTemp,7.060046397902468
SMI,18.0,44.41897,-92.942041,maxTemp,24.275537814147242
SMI,19.0,44.41897,-92.942041,maxTemp,28.410969126748114
SMI,20.0,44.41897,-92.942041,maxTemp,18.628766165084528
SMI,21.0,44.41897,-92.942041,maxTemp,13.628225802605527
SMI,22.0,44.41897,-92.942041,maxTemp,31.951132223651484
SMI,23.0,44.41897,-92.942041,maxTemp,36.97088687838918
SMI,24.0,44.41897,-92.942041,maxTemp,36.62157885942072
SMI,25.0,44.41897,-92.942041,maxTemp,35.00448368584138
SMI,26.0,44.41897,-92.942041,maxTemp,34.7894766805577
SMI,27.0,44.41897,-92.942041,maxTemp,31.86370422249263
SMI,28.0,44.41897,-92.942041,maxTemp,28.267884618874675
SMI,29.0,44.41897,-92.942041,maxTemp,26.285525615371057
SMI,30.0,44.41897,-92.942041,maxTemp,26.12043537134194
SMI,31.0,44.41897,-92.942041,maxTemp,30.275744998650627
SMI,32.0,44.41897,-92.942041,maxTemp,37.475574218117856
SMI,33.0,44.41897,-92.942041,maxTemp,50.17388195687582
